,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type,Green Zone
0,"(41.38567185560935, 2.1945985766131)","(41.38316891146904, 2.194608732654252)",111.3,676.1,6.074573225516622,6.039999961853027,7.040999889373778,0.0014805501072633,0.1480550107263351,0.001480549025462,1,0,0,1
1,"(41.38316891146904, 2.194608732654252)","(41.38030795429388, 2.192840833644306)",50.5,350.7,6.9445544554455445,7.040999889373778,7.056000232696532,4.2772578622052774e-05,0.0042772578622052,4.2772578595968706e-05,1,0,0,0
2,"(41.38030795429388, 2.192840833644306)","(41.379150813364696, 2.1921322649692194)",20.4,141.6,6.941176470588236,7.056000232696532,7.0310001373291025,-0.0001765543458151,-0.0176554345815195,-0.0001765543439807,1,0,0,0
3,"(41.379150813364696, 2.1921322649692194)","(41.378748, 2.191359)",67.6,329.3,4.87130177514793,7.0310001373291025,4.227000236511231,-0.0085150315846276,-0.8515031584627608,-0.0085148257972929,1,0,0,0
4,"(41.378748, 2.191359)","(41.378432446156495, 2.189690990569933)",21.2,145.9,6.882075471698114,4.227000236511231,4.7170000076293945,0.0033584631330922,0.3358463133092282,0.0033584505061684,0,0,0,0
5,"(41.378432446156495, 2.189690990569933)","(41.37999541040556, 2.1874331904520514)",52.0,361.0,6.9423076923076925,4.7170000076293945,4.306000232696533,-0.0011385035316699,-0.1138503531669976,-0.0011385030397646,1,0,0,1
6,"(41.37999541040556, 2.1874331904520514)","(41.382024, 2.186391)",81.7,533.1,6.525091799265606,4.306000232696533,5.2230000495910645,0.0017201272123326,0.1720127212332641,0.0017201255158099,1,0,0,1
7,"(41.382024, 2.186391)","(41.38255034318391, 2.1850045973391805)",19.1,132.5,6.9371727748691105,5.2230000495910645,4.3959999084472665,-0.0062415104991984,-0.6241510499198482,-0.0062414294520554,0,0,0,1
8,"(41.38255034318391, 2.1850045973391805)","(41.380453541797095, 2.1814749994933686)",62.3,475.9,7.63884430176565,4.3959999084472665,4.2820000648498535,-0.0002395457944892,-0.0239545794489203,-0.0002395457899073,1,0,0,1
9,"(41.380453541797095, 2.1814749994933686)","(41.379097937082996, 2.180378609374653)",21.2,176.7,8.334905660377359,4.2820000648498535,4.452000141143799,0.0009620830576906,0.0962083057690692,0.0009620827608549,1,0,0,1
10,"(41.379097937082996, 2.180378609374653)","(41.37669963692269, 2.1784422836455692)",39.0,311.5,7.987179487179486,4.452000141143799,4.367000102996826,-0.0002728733166837,-0.02728733166837,-0.0002728733099109,1,0,0,1
11,"(41.37669963692269, 2.1784422836455692)","(41.375713, 2.177369)",26.5,145.2,5.479245283018868,4.367000102996826,4.23799991607666,-0.000888431039395,-0.0888431039395082,-0.0008884308056461,1,0,0,1
12,"(41.375713, 2.177369)","(41.374786419386936, 2.176747377645749)",20.0,121.6,6.08,4.23799991607666,4.138000011444092,-0.0008223676367809,-0.0822367636780989,-0.0008223674513951,0,0,0,1
13,"(41.374786419386936, 2.176747377645749)","(41.37478837449894, 2.1746403052954535)",21.2,207.6,9.79245283018868,4.138000011444092,5.451000213623047,0.0063246637869891,0.6324663786989186,0.0063245794572701,1,0,0,0
14,"(41.37478837449894, 2.1746403052954535)","(41.37503140676714, 2.170618930914126)",30.3,336.6,11.10891089108911,5.451000213623047,8.503999710083008,0.0090701113976825,0.9070111397682592,0.0090698626865803,1,0,0,0
15,"(41.37503140676714, 2.170618930914126)","(41.375061537430504, 2.167171023936409)",29.1,287.4,9.876288659793811,8.503999710083008,9.862000465393066,0.0047251244095687,0.472512440956875,0.0047250892444028,1,0,0,0
16,"(41.375061537430504, 2.167171023936409)","(41.37509638641384, 2.1637202285090296)",25.9,288.0,11.11969111969112,9.862000465393066,11.35200023651123,0.0051736103163825,0.5173610316382514,0.0051735641577522,1,0,0,0
17,"(41.37509638641384, 2.1637202285090296)","(41.375107903427676, 2.159399896545658)",32.5,360.6,11.095384615384615,11.35200023651123,14.770999908447266,0.0094814189460233,0.9481418946023392,0.0094811348433429,1,0,0,0
