,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type,Green Zone
0,"(41.394426681967566, 2.201577472634357)","(41.394353549367196, 2.2027720817693925)",24.2,132.5,5.475206611570249,3.732000112533569,4.2709999084472665,0.0040679229880278,0.4067922988027896,0.0040679005495909,1,0,0,0
1,"(41.394353549367196, 2.2027720817693925)","(41.39597217706874, 2.2047933528610533)",22.2,246.6,11.108108108108109,4.2709999084472665,2.663000106811523,-0.0065206804608099,-0.6520680460809984,-0.0065205880449686,1,0,0,0
2,"(41.39597217706874, 2.2047933528610533)","(41.39847416742284, 2.202494896038211)",85.3,419.6,4.919109026963659,2.663000106811523,2.8980000019073486,0.0005600569473208,0.0560056947320841,0.0005600568887643,1,0,0,0
3,"(41.39847416742284, 2.202494896038211)","(41.40015987661087, 2.200261826047967)",25.4,264.2,10.401574803149606,2.8980000019073486,2.6440000534057617,-0.0009613926892565,-0.0961392689256574,-0.0009613923930593,1,0,0,0
4,"(41.40015987661087, 2.200261826047967)","(41.40212648059729, 2.1976869668296355)",30.3,306.5,10.115511551155118,2.6440000534057617,3.390000104904175,0.0024339316525233,0.243393165252337,0.0024339268463178,1,0,0,0
5,"(41.40212648059729, 2.1976869668296355)","(41.40371544032348, 2.195586774869673)",33.1,248.9,7.519637462235648,3.390000104904175,4.3530001640319815,0.0038690239418553,0.3869023941855394,0.0038690046364424,1,0,0,0
6,"(41.40371544032348, 2.195586774869673)","(41.40457126012947, 2.191226915332414)",44.3,435.6,9.83295711060948,4.3530001640319815,6.927000045776367,0.0059090906376133,0.5909090637613371,0.0059090218624546,1,0,0,0
7,"(41.40457126012947, 2.191226915332414)","(41.403878, 2.188658)",20.5,227.6,11.102439024390245,6.927000045776367,11.371000289916992,0.0195254843767162,1.952548437671628,0.0195230036160533,1,0,0,0
8,"(41.403878, 2.188658)","(41.403868, 2.188548)",192.7,1077.4,5.591074208614427,11.371000289916992,11.482999801635742,0.0001039535100415,0.0103953510041535,0.000103953509667,0,0,0,0
9,"(41.403868, 2.188548)","(41.404852192547715, 2.187279816091337)",42.9,152.2,3.547785547785548,11.482999801635742,12.609999656677244,0.0074047296651872,0.740472966518728,0.0074045943358106,0,0,1,0
10,"(41.404852192547715, 2.187279816091337)","(41.40821381185608, 2.187132950498007)",40.4,381.7,9.448019801980198,12.609999656677244,17.19099998474121,0.0120015727745977,1.2001572774597755,0.0120009965978824,1,0,0,0
11,"(41.40821381185608, 2.187132950498007)","(41.41107141251954, 2.187052587773334)",56.3,318.4,5.655417406749556,17.19099998474121,20.006999969482425,0.0088442210576043,0.8844221057604306,0.0088439904693769,1,0,0,0
12,"(41.41107141251954, 2.187052587773334)","(41.41449277651683, 2.18572361087356)",76.4,443.8,5.808900523560209,20.006999969482425,25.256999969482425,0.0118296529968454,1.1829652996845426,0.0118291012265727,1,0,0,0
13,"(41.41449277651683, 2.18572361087356)","(41.415172, 2.184762)",27.5,110.2,4.007272727272728,25.256999969482425,29.20100021362305,0.0357894758996426,3.5789475899642693,0.0357742068794658,1,0,0,0
14,"(41.415172, 2.184762)","(41.416036, 2.183624)",32.8,136.5,4.161585365853659,29.20100021362305,33.14500045776367,0.0288937746823489,2.88937746823489,0.02888573804959,0,0,0,0
15,"(41.416036, 2.183624)","(41.41692386970266, 2.1825449360783926)",43.2,134.0,3.101851851851852,33.14500045776367,35.972999572753906,0.0211044710073898,2.110447100738981,0.0211013385431721,0,0,0,0
16,"(41.41692386970266, 2.1825449360783926)","(41.419026587653356, 2.180738126907131)",68.1,308.5,4.530102790014685,35.972999572753906,44.25400161743164,0.0268427943101385,2.684279431013852,0.0268363500328828,1,0,0,0
17,"(41.419026587653356, 2.180738126907131)","(41.421798698580474, 2.179568171185765)",48.0,337.0,7.020833333333332,44.25400161743164,48.4020004272461,0.0123086018095384,1.2308601809538438,0.0123079802747575,1,0,0,0
18,"(41.421798698580474, 2.179568171185765)","(41.42460252928053, 2.176972775989002)",48.9,381.5,7.801635991820041,48.4020004272461,56.05599975585938,0.0200629078076363,2.0062907807636385,0.0200602165485577,1,0,0,0
19,"(41.42460252928053, 2.176972775989002)","(41.42639686587039, 2.173042303782484)",70.9,394.5,5.564174894217207,56.05599975585938,64.21900177001953,0.0206920203147279,2.06920203147279,0.0206890679100486,1,0,0,0
20,"(41.42639686587039, 2.173042303782484)","(41.426517, 2.172363)",128.3,606.9,4.730319563522992,64.21900177001953,65.51200103759766,0.0021304980517022,0.2130498051702298,0.0021304948282519,1,0,0,0
21,"(41.426517, 2.172363)","(41.426902, 2.171017)",13.4,124.7,9.305970149253731,65.51200103759766,68.29199981689453,0.0222934946214665,2.229349462146652,0.0222898024341967,0,0,0,0
22,"(41.426902, 2.171017)","(41.42747931420053, 2.168463480943511)",31.1,226.7,7.289389067524115,68.29199981689453,71.81999969482422,0.0155624167531084,1.556241675310846,0.0155611605878825,0,0,0,0
23,"(41.42747931420053, 2.168463480943511)","(41.42843042739945, 2.1633323658606955)",56.9,456.1,8.015817223198594,71.81999969482422,75.88300323486328,0.0089081419426421,0.8908141942642102,0.0089079063186806,1,0,0,0
24,"(41.42843042739945, 2.1633323658606955)","(41.429573, 2.161827)",29.5,187.9,6.3694915254237285,75.88300323486328,75.99500274658203,0.0005960591363424,0.0596059136342469,0.0005960590657518,1,0,0,0
25,"(41.429573, 2.161827)","(41.42973045712878, 2.160138262123116)",22.2,142.7,6.427927927927928,75.99500274658203,77.07499694824219,0.0075682845245981,0.7568284524598152,0.0075681400284826,0,0,0,0
26,"(41.42973045712878, 2.160138262123116)","(41.42970690034442, 2.157149380106303)",47.2,271.9,5.760593220338983,77.07499694824219,82.04199981689453,0.0182677560450619,1.8267756045061951,0.0182657244019985,1,0,0,0
27,"(41.42970690034442, 2.157149380106303)","(41.43078662640998, 2.1551937947476607)",41.7,223.0,5.347721822541966,82.04199981689453,90.21499633789062,0.0366502086143322,3.665020861433226,0.036633811845402,1,0,0,0
28,"(41.43078662640998, 2.1551937947476607)","(41.43311564712082, 2.153152009464516)",28.8,319.8,11.104166666666664,90.21499633789062,109.38500213623048,0.0599437329529075,5.994373295290758,0.0598720897203394,1,0,0,0
29,"(41.43311564712082, 2.153152009464516)","(41.434284, 2.152931)",17.5,144.0,8.228571428571428,109.38500213623048,112.74199676513672,0.0233124627007378,2.3312462700737853,0.0233082408621584,1,0,0,0
30,"(41.434284, 2.152931)","(41.43512024902606, 2.153536615391327)",9.6,106.8,11.125,112.74199676513672,118.62000274658205,0.0550375091895628,5.503750918956285,0.0549820380960902,0,0,0,0
31,"(41.43512024902606, 2.153536615391327)","(41.436314, 2.153674)",56.2,276.4,4.91814946619217,118.62000274658205,125.33399963378906,0.0242908715166679,2.4290871516667987,0.0242860956266056,1,0,0,0
32,"(41.436314, 2.153674)","(41.43727439560509, 2.1535590002363474)",23.7,120.0,5.063291139240507,125.33399963378906,128.69099426269528,0.0279749552408854,2.797495524088541,0.0279676609498785,0,0,0,0
33,"(41.43727439560509, 2.1535590002363474)","(41.438971044898445, 2.1542182450055463)",27.7,196.5,7.093862815884478,128.69099426269528,140.52299499511722,0.060213744185353,6.021374418535305,0.0601411298629322,1,0,0,0
34,"(41.438971044898445, 2.1542182450055463)","(41.44047753520307, 2.1548040447069226)",26.0,174.6,6.715384615384616,140.52299499511722,151.29400634765625,0.0616896411943818,6.168964119438182,0.0616115637869235,1,0,0,0
35,"(41.44047753520307, 2.1548040447069226)","(41.439875738874306, 2.1544653986193545)",12.9,73.0,5.658914728682171,151.29400634765625,146.8470001220703,-0.0609178935011772,-6.091789350117723,-0.060842705617093,1,1,0,0
36,"(41.439875738874306, 2.1544653986193545)","(41.43742801376793, 2.1534906326012258)",39.3,284.2,7.231552162849872,146.8470001220703,129.52299499511722,-0.0609570905241137,-6.095709052411374,-0.0608817576251596,1,0,0,0
37,"(41.43742801376793, 2.1534906326012258)","(41.436194, 2.153266)",22.9,143.4,6.262008733624454,129.52299499511722,125.572998046875,-0.0275453064730975,-2.7545306473097537,-0.0275383430317374,1,0,0,0
38,"(41.436194, 2.153266)","(41.43413603614921, 2.1533975017191644)",49.8,253.2,5.084337349397591,125.572998046875,111.98699951171876,-0.053657182208358,-5.365718220835802,-0.053605776304427,0,0,0,0
39,"(41.43413603614921, 2.1533975017191644)","(41.433063, 2.153814)",29.9,124.7,4.17056856187291,111.98699951171876,101.06700134277344,-0.0875701537204916,-8.757015372049167,-0.0873473332123415,1,0,0,0
40,"(41.433063, 2.153814)","(41.432026, 2.154414)",30.4,126.6,4.164473684210527,101.06700134277344,92.68299865722656,-0.0662243498068473,-6.622434980684735,-0.0661277911705607,0,0,0,0
41,"(41.432026, 2.154414)","(41.431347138360266, 2.155260857050822)",24.7,103.1,4.174089068825912,92.68299865722656,91.0009994506836,-0.0163142503059453,-1.631425030594538,-0.0163128031652282,0,0,0,0
42,"(41.431347138360266, 2.155260857050822)","(41.430869, 2.156376)",26.6,111.0,4.1729323308270665,91.0009994506836,86.25399780273438,-0.0427657806121551,-4.2765780612155115,-0.0427397375681213,1,0,0,0
43,"(41.430869, 2.156376)","(41.430392, 2.155696)",25.9,118.3,4.567567567567568,86.25399780273438,87.09100341796875,0.0070752799259034,0.7075279925903424,0.0070751618675879,0,0,0,0
44,"(41.430392, 2.155696)","(41.429234, 2.156488)",22.9,150.3,6.563318777292577,87.09100341796875,85.21199798583984,-0.0125016994818955,-1.2501699481895585,-0.0125010482357186,0,0,0,0
45,"(41.429234, 2.156488)","(41.429138739801274, 2.157599114542401)",28.1,130.9,4.658362989323844,85.21199798583984,86.10299682617188,0.0068067138298856,0.6806713829885647,0.006806608711387,0,0,0,0
46,"(41.429138739801274, 2.157599114542401)","(41.42959430350123, 2.160350020649399)",35.6,245.3,6.890449438202247,86.10299682617188,76.31099700927734,-0.0399184664365859,-3.9918466436585938,-0.0398972835403038,1,0,0,0
47,"(41.42959430350123, 2.160350020649399)","(41.42961, 2.161914)",21.4,131.8,6.158878504672898,76.31099700927734,76.30599975585938,-3.791542805742602e-05,-0.0037915428057426,-3.79154280392572e-05,1,0,0,0
48,"(41.42961, 2.161914)","(41.42868759202101, 2.1628468340877944)",24.1,132.1,5.481327800829876,76.30599975585938,76.26699829101562,-0.0002952419745931,-0.0295241974593111,-0.0002952419660145,0,0,0,0
49,"(41.42868759202101, 2.1628468340877944)","(41.42776278381151, 2.164693706421728)",22.5,188.1,8.36,76.26699829101562,74.4209976196289,-0.0098139323306045,-0.9813932330604566,-0.0098136172781797,1,0,0,0
50,"(41.42776278381151, 2.164693706421728)","(41.42736766944424, 2.168142142493157)",36.2,291.4,8.049723756906078,74.4209976196289,72.03700256347656,-0.0081811772688824,-0.8181177268882444,-0.0081809947496162,1,0,0,0
51,"(41.42736766944424, 2.168142142493157)","(41.42627504140939, 2.1729629905068797)",56.6,423.5,7.482332155477033,72.03700256347656,64.15599822998047,-0.0186092192054217,-1.860921920542171,-0.0186070715085989,1,0,0,0
52,"(41.42627504140939, 2.1729629905068797)","(41.4242419829872, 2.1770858702228146)",79.6,434.3,5.45603015075377,64.15599822998047,55.53799819946289,-0.0198434262733538,-1.984342627335385,-0.019840822362315,1,0,0,0
53,"(41.4242419829872, 2.1770858702228146)","(41.422076265308604, 2.1790917271336294)",33.8,294.6,8.715976331360949,55.53799819946289,49.54999923706055,-0.0203258620583922,-2.032586205839221,-0.0203230636053066,1,0,0,0
54,"(41.422076265308604, 2.1790917271336294)","(41.421518, 2.179737)",68.2,369.6,5.419354838709677,49.54999923706055,47.65800094604492,-0.0051190429951721,-0.5119042995172145,-0.0051189982817151,1,0,0,0
55,"(41.421518, 2.179737)","(41.420388, 2.180737)",57.3,320.5,5.593368237347296,47.65800094604492,44.19200134277344,-0.0108143513362604,-1.0814351336260482,-0.0108139297856751,0,0,0,0
56,"(41.420388, 2.180737)","(41.41929447585432, 2.181442117524382)",21.2,148.4,7.000000000000001,44.19200134277344,41.42100143432617,-0.0186725061216123,-1.8672506121612304,-0.0186703364413582,0,0,0,0
57,"(41.41929447585432, 2.181442117524382)","(41.417954, 2.183339)",19.6,217.4,11.091836734693878,41.42100143432617,33.535999298095696,-0.0362695590442983,-3.6269559044298383,-0.0362536676144523,1,0,0,0
58,"(41.417954, 2.183339)","(41.417773, 2.183587)",116.1,704.1,6.064599483204135,33.535999298095696,32.61100006103516,-0.0013137327610574,-0.1313732761057444,-0.0013137320052704,0,0,0,0
59,"(41.417773, 2.183587)","(41.41663153749647, 2.1850530171041576)",20.9,176.7,8.454545454545455,32.61100006103516,29.53700065612793,-0.0173967142326385,-1.7396714232638515,-0.017394959537869,0,0,0,0
60,"(41.41663153749647, 2.1850530171041576)","(41.415319, 2.186826)",137.7,1387.0,10.072621641249093,29.53700065612793,26.76200008392334,-0.0020007213930818,-0.2000721393081896,-0.002000718723535,1,0,0,0
61,"(41.415319, 2.186826)","(41.41427148746489, 2.186732818506617)",10.8,120.5,11.157407407407408,26.76200008392334,23.98699951171875,-0.0230290503917393,-2.3029050391739334,-0.0230249806329251,0,0,0,0
62,"(41.41427148746489, 2.186732818506617)","(41.41090933240443, 2.1867163405673113)",40.6,373.9,9.20935960591133,23.98699951171875,20.900999069213867,-0.0082535449117541,-0.8253544911754167,-0.0082533575061596,1,0,0,0
63,"(41.41090933240443, 2.1867163405673113)","(41.40799472565325, 2.1867227631010286)",34.4,324.2,9.424418604651162,20.900999069213867,17.232000350952152,-0.011317084263608,-1.1317084263608015,-0.0113166011502766,1,0,0,0
64,"(41.40799472565325, 2.1867227631010286)","(41.40516, 2.186847)",24.286,319.0,13.135139586593098,17.232000350952152,13.130000114440918,-0.0128589349106935,-1.2858934910693514,-0.0128582262299121,1,0,0,0
65,"(41.40516, 2.186847)","(41.404315881408635, 2.188409528575806)",28.569000000000003,188.0,6.5805593475445425,13.130000114440918,12.10099983215332,-0.0054734057568489,-0.5473405756848924,-0.0054733511000902,0,0,0,0
66,"(41.404315881408635, 2.188409528575806)","(41.404972, 2.18936)",13.095999999999998,109.0,8.323152107513744,12.10099983215332,9.8100004196167,-0.0210183432342809,-2.1018343234280925,-0.0210152489579816,1,0,0,0
67,"(41.404972, 2.18936)","(41.40418885814304, 2.1912617090089146)",22.276999999999997,202.0,9.06764824707097,9.8100004196167,7.13100004196167,-0.0132623781072031,-1.3262378107203117,-0.0132616006130499,0,0,0,0
68,"(41.40418885814304, 2.1912617090089146)","(41.40269118125316, 2.1945383422500466)",45.381,365.0,8.043013595998325,7.13100004196167,4.389999866485597,-0.0075095895218522,-0.7509589521852258,-0.0075094483615279,1,0,0,0
69,"(41.40269118125316, 2.1945383422500466)","(41.400955863027285, 2.196798997914211)",89.5,270.1,3.0178770949720675,4.389999866485597,3.5409998893737797,-0.0031432801818282,-0.3143280181828272,-0.0031432698297998,1,0,0,0
70,"(41.400955863027285, 2.196798997914211)","(41.399270570544886, 2.19900334213526)",68.2,262.6,3.8504398826979473,3.5409998893737797,3.250999927520752,-0.0011043410580846,-0.1104341058084643,-0.0011043406091448,1,0,0,0
71,"(41.399270570544886, 2.19900334213526)","(41.39768866622343, 2.201096379522472)",59.5,247.8,4.1647058823529415,3.250999927520752,3.2660000324249268,6.053311099344151e-05,0.0060533110993441,6.05331109195052e-05,1,0,0,0
72,"(41.39768866622343, 2.201096379522472)","(41.394426681967566, 2.201577472634357)",113.0,470.9,4.167256637168141,3.2660000324249268,3.732000112533569,0.0009895945638323,0.0989594563832326,0.0009895942407967,1,0,0,0
