,Unnamed: 0,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type,Green Zone,Solution,Energy consumed,Remaining charge %,Green kms,CO2 emissions
0,0,"(41.37648599264198, 2.1661599911320764)","(41.3784470251624, 2.163580695490226)",41.9,306.6,7.3174224343675425,10.651000022888184,11.873000144958494,0.0039856494522841,0.3985649452284124,0.0039856283479379,1,0,0,0,1,0.5741775091678036,8.438861120323226,0.30660000000000004,0.0
1,1,"(41.3784470251624, 2.163580695490226)","(41.380647042925844, 2.1614547399054937)",39.6,356.0,8.98989898989899,11.873000144958494,15.447999954223633,0.0100421342956885,1.0042134295688585,0.0100417967515711,1,0,0,0,0,0.08195620312925193,8.564897558938423,0.025,0.3071415240865419
2,2,"(41.380647042925844, 2.1614547399054937)","(41.38304363381482, 2.1637752622734223)",31.6,339.7,10.75,15.447999954223633,17.476999282836914,0.0059729153035421,0.5972915303542189,0.0059728442757167,1,0,0,0,0,0.07860339408678743,8.754306114187756,0.025,0.2887204282756194
3,3,"(41.38304363381482, 2.1637752622734223)","(41.38562891981612, 2.16449256095366)",43.6,308.5,7.075688073394495,17.476999282836914,20.38999938964844,0.0094424638794538,0.9442463879453884,0.0094421832640484,1,0,0,0,0,0.08146215572362152,8.792627169037548,0.025,0.23339913827378472
4,4,"(41.38562891981612, 2.16449256095366)","(41.38772685497326, 2.1705469249195475)",139.9,782.8,5.59542530378842,20.38999938964844,18.628000259399414,-0.002250893114779,-0.2250893114779028,-0.0022508893133923,1,0,0,1,1,0.8721065960651625,7.986556923083014,0.7827999999999999,0.0
5,5,"(41.38772685497326, 2.1705469249195475)","(41.390143208467066, 2.169376984503604)",75.6,369.6,4.888888888888889,18.628000259399414,22.285999298095703,0.0098971835462561,0.9897183546256192,0.0098968604082097,1,0,0,1,1,0.7724968605486721,7.270900765583476,0.36960000000000004,0.0
6,6,"(41.390143208467066, 2.169376984503604)","(41.39187016602525, 2.171675464781671)",40.9,271.4,6.635696821515893,22.285999298095703,20.750999450683594,-0.0056558579491971,-0.5655857949197162,-0.0056557976424519,1,0,0,1,1,0.3173271098929108,7.034737680853054,0.2714,0.0
7,7,"(41.39187016602525, 2.171675464781671)","(41.39405792044864, 2.174597312543313)",47.8,347.0,7.259414225941423,20.750999450683594,18.43199920654297,-0.0066829978217309,-0.6682997821730907,-0.0066828983313562,1,0,0,1,1,0.37904233161316214,6.755545034418057,0.347,0.0
8,8,"(41.39405792044864, 2.174597312543313)","(41.395401112985546, 2.1756390186771535)",51.7,256.1,4.953578336557059,18.43199920654297,19.19099998474121,0.0029636890987826,0.2963689098782671,0.002963680421687,1,0,0,1,1,0.41994395215857433,6.388442533567267,0.25610000000000005,0.0
9,9,"(41.395401112985546, 2.1756390186771535)","(41.395868, 2.174322)",144.8,742.4,5.127071823204419,19.19099998474121,21.82200050354004,0.0035439123367441,0.3543912336744111,0.0035438975004858,1,0,0,0,0,0.07660173487281872,6.3118407986944485,0.025,0.4039289641539411
10,10,"(41.395868, 2.174322)","(41.397386323366476, 2.17239072613645)",39.6,233.9,5.906565656565657,21.82200050354004,25.638999938964844,0.0163189373040821,1.6318937304082106,0.0163174889158717,0,0,0,0,0,0.07660173487281872,6.365016966670411,0.025,0.21847621656886143
