,Unnamed: 0,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type,Green Zone,Solution,Energy consumed,Remaining charge %,Green kms,CO2 emissions
0,0,"(41.34608061061286, 2.122132589347098)","(41.346861, 2.121568)",18.1,103.0,5.69060773480663,6.0329999923706055,5.817999839782715,-0.0020873801222125,-0.20873801222125302,-0.0020873770905403,1,0,0,0,1,0.19065290479244135,8.709347095207558,0.103,0.0
1,1,"(41.346861, 2.121568)","(41.34766770689578, 2.123296534050394)",20.4,170.0,8.333333333333334,5.817999839782715,5.329999923706055,-0.0028705877416274,-0.2870587741627413,-0.0028705798568565,0,0,0,0,1,0.16345142838323481,8.612057796548626,0.17,0.0
2,2,"(41.34766770689578, 2.123296534050394)","(41.349306595516424, 2.1263079735981445)",42.7,317.9,7.4449648711943786,5.329999923706055,6.0209999084472665,0.0021736394612809,0.217363946128094,0.0021736360380196,1,0,0,0,1,0.5888078810944098,8.158374951885756,0.31789999999999996,0.0
3,3,"(41.349306595516424, 2.1263079735981445)","(41.35201381569075, 2.129859109382336)",91.6,522.2,5.700873362445416,6.0209999084472665,5.328000068664551,-0.0013270774411771,-0.1327077441177163,-0.001327076662124,1,0,0,0,1,0.6455737724603511,7.579548158211882,0.5222,0.0
4,4,"(41.35201381569075, 2.129859109382336)","(41.3556388284178, 2.1261363974905936)",90.2,534.0,5.9201773835920175,5.328000068664551,7.210999965667725,0.0035262170355864,0.3526217035586467,0.0035262024204584,1,0,0,0,1,0.8486088713318748,6.801419436340324,0.534,0.0
5,5,"(41.3556388284178, 2.1261363974905936)","(41.357873197843645, 2.1248185266172395)",64.6,373.6,5.78328173374613,7.210999965667725,6.921000003814697,-0.0007762311612768,-0.0776231161276839,-0.0007762310053747,1,0,0,0,1,0.5000316111944525,6.368558530781938,0.37360000000000004,0.0
6,6,"(41.357873197843645, 2.1248185266172395)","(41.358661, 2.124219)",19.5,100.3,5.143589743589743,6.921000003814697,6.40500020980835,-0.0051445642473215,-0.5144564247321513,-0.0051445188617681,1,0,0,0,0,0.06944104763152041,6.299117483150417,0.025,0.029279424534114258
7,7,"(41.358661, 2.124219)","(41.36185031288731, 2.122465931922088)",60.7,407.5,6.71334431630972,6.40500020980835,6.39900016784668,-1.472402935379122e-05,-0.0014724029353791,-1.4724029352727177e-05,0,0,0,0,1,0.47886443636673404,5.868416733690737,0.4075,0.0
8,8,"(41.36185031288731, 2.122465931922088)","(41.36500028754613, 2.1224142011109532)",58.6,478.4,8.163822525597269,6.39900016784668,7.248000144958496,0.0017746655039962,0.1774665503996272,0.0017746636409336,1,0,0,0,1,0.826171225010325,5.203421269240795,0.4784,0.0
9,9,"(41.36500028754613, 2.1224142011109532)","(41.364564179741485, 2.12626962531156)",49.5,343.5,6.9393939393939394,7.248000144958496,7.146999835968018,-0.0002940329228252,-0.0294032922825264,-0.0002940329143516,1,0,0,0,1,0.531742261000247,4.779427084390791,0.3435,0.0
